date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-09,A,2019-02-15,65.00,Call,10.50,11.25,0.2705,1.0000,0.0000,-0.0046,0.0000,0.0124
2019-02-09,A,2019-02-15,65.00,Put,0.00,0.03,0.3133,-0.0002,0.0002,-0.0002,0.0001,0.0000
2019-02-09,A,2019-02-15,67.50,Call,8.15,8.50,0.2705,0.9991,0.0010,-0.0053,0.0003,0.0129
2019-02-09,A,2019-02-15,67.50,Put,0.00,0.03,0.3133,-0.0034,0.0031,-0.0024,0.0011,0.0000
2019-02-09,A,2019-02-15,70.00,Call,5.70,6.00,0.2705,0.9845,0.0137,-0.0127,0.0041,0.0132
2019-02-09,A,2019-02-15,70.00,Put,0.03,0.05,0.3133,-0.0308,0.0212,-0.0162,0.0073,-0.0005
2019-02-09,A,2019-02-15,72.50,Call,3.35,3.60,0.2626,0.8955,0.0658,-0.0402,0.0190,0.0123
2019-02-09,A,2019-02-15,72.50,Put,0.12,0.15,0.2600,-0.1021,0.0655,-0.0343,0.0189,-0.0014
2019-02-09,A,2019-02-15,75.00,Call,1.33,1.49,0.2241,0.6456,0.1583,-0.0659,0.0390,0.0091
2019-02-09,A,2019-02-15,75.00,Put,0.52,0.60,0.2201,-0.3530,0.1619,-0.0598,0.0390,-0.0047
2019-02-09,A,2019-02-15,77.50,Call,0.21,0.23,0.1861,0.2034,0.1449,-0.0405,0.0297,0.0029
2019-02-09,A,2019-02-15,77.50,Put,1.73,1.97,0.1721,-0.8214,0.1506,-0.0306,0.0281,-0.0081
2019-02-09,A,2019-02-15,80.00,Call,0.00,0.03,0.1861,0.0196,0.0244,-0.0067,0.0050,0.0003
2019-02-09,A,2019-02-15,80.00,Put,4.10,4.35,0.1721,-0.9998,0.0070,0.0000,0.0005,0.0000
2019-02-09,A,2019-02-15,82.50,Call,0.00,0.03,0.1861,0.0006,0.0010,-0.0003,0.0002,0.0000
2019-02-09,A,2019-02-15,82.50,Put,6.60,7.25,0.1721,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,A,2019-02-15,85.00,Call,0.00,0.03,0.1861,0.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,A,2019-02-15,85.00,Put,9.10,9.75,0.1721,-1.0000,0.0000,0.0000,0.0000,0.0000
2019-02-09,A,2019-03-15,65.00,Call,11.05,11.35,0.3457,0.9349,0.0157,-0.0189,0.0298,0.0571
2019-02-16,EBAY,2019-04-18,31.00,Call,4.00,7.40,0.2853,0.9338,0.0328,-0.0069,0.0202,0.0445
2019-02-09,A,2019-03-15,65.00,Put,0.20,0.24,0.3386,-0.0613,0.0153,-0.0135,0.0291,-0.0044
2019-02-09,A,2019-03-15,67.50,Call,8.75,9.00,0.3222,0.8921,0.0245,-0.0242,0.0435,0.0562
2019-02-16,EBAY,2019-04-18,31.00,Put,0.10,0.40,0.3407,-0.1035,0.0357,-0.0072,0.0272,-0.0062
2019-02-09,A,2019-03-15,67.50,Put,0.38,0.43,0.3210,-0.1071,0.0246,-0.0194,0.0442,-0.0076
2019-02-16,EBAY,2019-04-18,33.00,Call,3.30,5.05,0.2535,0.8539,0.0613,-0.0091,0.0344,0.0454
2019-02-09,A,2019-03-15,70.00,Call,6.55,6.80,0.3009,0.8233,0.0368,-0.0301,0.0608,0.0534
2019-02-16,EBAY,2019-04-18,33.00,Put,0.34,0.71,0.3209,-0.1971,0.0585,-0.0104,0.0415,-0.0117
2019-02-09,A,2019-03-15,70.00,Put,0.68,0.75,0.3022,-0.1782,0.0370,-0.0256,0.0613,-0.0124
2019-02-16,EBAY,2019-04-18,34.00,Call,3.10,3.40,0.2867,0.7544,0.0741,-0.0128,0.0481,0.0406
2019-02-09,A,2019-03-15,72.50,Call,4.65,4.85,0.2907,0.7147,0.0498,-0.0366,0.0797,0.0473
2019-02-16,EBAY,2019-04-18,34.00,Put,0.69,0.79,0.3022,-0.2567,0.0722,-0.0113,0.0483,-0.0149
2019-02-09,A,2019-03-15,72.50,Put,1.15,1.28,0.2829,-0.2820,0.0514,-0.0308,0.0804,-0.0192
2019-02-16,EBAY,2019-04-18,35.00,Call,2.60,2.71,0.3001,0.6649,0.0819,-0.0150,0.0539,0.0362
2019-02-09,A,2019-03-15,75.00,Call,2.99,3.15,0.2741,0.5779,0.0609,-0.0389,0.0918,0.0390
2019-02-16,EBAY,2019-04-18,35.00,Put,0.82,1.21,0.2903,-0.3338,0.0852,-0.0121,0.0540,-0.0190
2019-02-09,A,2019-03-15,75.00,Put,2.03,2.12,0.2716,-0.4243,0.0622,-0.0337,0.0916,-0.0279
2019-02-16,EBAY,2019-04-18,36.00,Call,2.02,2.10,0.2964,0.5781,0.0887,-0.0155,0.0583,0.0317
2019-02-09,A,2019-03-15,77.50,Call,1.74,1.86,0.2627,0.4200,0.0634,-0.0366,0.0917,0.0288
2019-02-16,EBAY,2019-04-18,36.00,Put,1.22,1.60,0.2857,-0.4244,0.0936,-0.0127,0.0581,-0.0235
2019-02-09,A,2019-03-15,77.50,Put,3.20,3.40,0.2594,-0.5862,0.0654,-0.0313,0.0919,-0.0360
2019-02-09,A,2019-03-15,80.00,Call,0.85,0.91,0.2460,0.2617,0.0564,-0.0282,0.0763,0.0181
2019-02-09,A,2019-03-15,80.00,Put,4.85,5.05,0.2500,-0.7429,0.0575,-0.0240,0.0777,-0.0401
2019-02-16,EBAY,2019-04-18,37.00,Call,1.47,1.73,0.3000,0.4890,0.0897,-0.0158,0.0592,0.0272
2019-02-16,EBAY,2019-04-18,37.00,Put,1.67,2.15,0.2827,-0.5197,0.0967,-0.0126,0.0591,-0.0277
