date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,stock_price
2013-01-03,AAPL,2013-01-04,400.0,call,140.2,143.05,0.6783,1.0,0.0,-1.2112,0.0,542.099991
2013-01-03,AAPL,2013-01-04,405.0,call,135.4,138.85,0.6783,1.0,0.0,-1.2263,0.0,542.099991
2013-01-03,AAPL,2013-01-04,410.0,call,130.4,133.85,0.6783,1.0,0.0,-1.2415,0.0,542.099991
2013-01-03,AAPL,2013-01-04,415.0,call,125.05,128.9,0.6783,1.0,0.0,-1.2566,0.0,542.099991
2013-01-03,AAPL,2013-01-04,420.0,call,121.45,122.9,0.6783,1.0,0.0,-1.2718,0.0,542.099991
2013-01-03,AAPL,2013-01-04,430.0,call,111.45,112.9,0.6783,1.0,0.0,-1.302,0.0,542.099991
2013-01-03,AAPL,2013-01-04,435.0,call,106.45,107.9,0.6783,1.0,0.0,-1.3172,0.0,542.099991
2013-01-03,AAPL,2013-01-04,440.0,call,101.45,103.25,0.6783,1.0,0.0,-1.3323,0.0,542.099991
2013-01-03,AAPL,2013-01-04,445.0,call,96.45,98.25,0.6783,1.0,0.0,-1.3475,0.0,542.099991
2013-01-03,AAPL,2013-01-04,450.0,call,91.45,92.9,0.6783,1.0,0.0,-1.3626,0.0,542.099991
2013-01-03,AAPL,2013-01-04,455.0,call,86.45,87.9,0.6783,1.0,0.0,-1.3777,0.0,542.099991
2013-01-03,AAPL,2013-01-04,460.0,call,81.45,82.95,0.6783,1.0,0.0,-1.3929,0.0,542.099991
2013-01-03,AAPL,2013-01-04,465.0,call,76.45,77.95,0.6783,1.0,0.0,-1.408,0.0,542.099991
2013-01-03,AAPL,2013-01-04,470.0,call,71.45,72.95,0.6783,1.0,0.0,-1.4232,0.0,542.099991
2013-01-03,AAPL,2013-01-04,475.0,call,66.45,67.95,0.6783,1.0,0.0,-1.4383,0.0,542.099991
2013-01-03,AAPL,2013-01-04,480.0,call,61.65,62.85,0.6783,1.0,0.0,-1.4535,0.0,542.099991
2013-01-03,AAPL,2013-01-04,485.0,call,56.4,58.0,0.6783,1.0,0.0,-1.4695,0.0,542.099991
2013-01-03,AAPL,2013-01-04,490.0,call,51.65,52.9,0.6783,1.0,0.0,-1.4959,0.0,542.099991
2013-01-03,AAPL,2013-01-04,495.0,call,46.65,47.85,0.6783,1.0,0.0,-1.6236,0.0002,542.099991
2013-01-03,AAPL,2013-01-04,500.0,call,41.75,42.8,0.6783,1.0,0.0,-2.492,0.0026,542.099991
2013-01-03,AAPL,2013-01-04,505.0,call,36.75,37.8,0.6783,0.9997,0.0001,-7.4543,0.016,542.099991
2013-01-03,AAPL,2013-01-04,510.0,call,31.65,32.8,0.6783,0.9986,0.0004,-29.5048,0.0753,542.099991
2013-01-03,AAPL,2013-01-04,515.0,call,27.0,27.9,0.6783,0.994,0.0015,-105.0607,0.2787,542.099991
2013-01-03,AAPL,2013-01-04,520.0,call,22.05,22.75,0.6783,0.9794,0.0045,-304.1909,0.8149,542.099991
2013-01-03,AAPL,2013-01-04,525.0,call,16.9,18.0,0.6783,0.9422,0.0104,-705.0968,1.8946,542.099991
2013-01-03,AAPL,2013-01-04,530.0,call,12.55,13.2,0.6783,0.8668,0.0194,-1310.3561,3.5247,542.099991
2013-01-03,AAPL,2013-01-04,535.0,call,8.0,8.6,0.5718,0.7796,0.0316,-1520.8168,4.8539,542.099991
2013-01-03,AAPL,2013-01-04,540.0,call,4.55,4.85,0.5447,0.5963,0.0434,-1892.9634,6.3442,542.099991
2013-01-03,AAPL,2013-01-04,545.0,put,4.7,5.0,0.4869,-0.6389,0.047,-1634.4321,6.1352,542.099991
2013-01-03,AAPL,2013-01-04,550.0,put,8.5,8.85,0.5052,-0.8265,0.031,-1160.3921,4.2002,542.099991
2013-01-03,AAPL,2013-01-04,555.0,put,12.6,13.4,0.538,-0.9249,0.0161,-682.3586,2.3219,542.099991
