date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2019-02-09,AAPL,2019-02-22,145.0,Call,25.3,26.05,0.4236,0.9773,0.0038,-0.0371,0.018,0.054
2019-02-09,AAPL,2019-02-22,145.0,Put,0.06,0.08,0.3886,-0.0149,0.0029,-0.0172,0.0125,-0.001
2019-02-09,AAPL,2019-02-22,152.5,Call,17.9,18.55,0.3267,0.9627,0.0075,-0.0419,0.0271,0.0559
2019-02-09,AAPL,2019-02-22,152.5,Put,0.12,0.16,0.3166,-0.033,0.007,-0.0274,0.0246,-0.0022
2019-02-09,AAPL,2019-02-22,157.5,Call,13.3,13.55,0.295,0.9208,0.015,-0.0619,0.0492,0.055
2019-02-09,AAPL,2019-02-22,157.5,Put,0.26,0.29,0.2763,-0.0664,0.014,-0.0417,0.0434,-0.0042
2019-02-09,AAPL,2019-02-22,162.5,Call,8.75,8.9,0.2582,0.8376,0.0285,-0.085,0.082,0.0513
2019-02-09,AAPL,2019-02-22,162.5,Put,0.64,0.67,0.2455,-0.1507,0.0287,-0.067,0.0811,-0.0093
2019-02-09,AAPL,2019-02-22,167.5,Call,4.8,4.95,0.235,0.6623,0.0466,-0.1099,0.1219,0.0414
2019-02-09,AAPL,2019-02-22,167.5,Put,1.68,1.73,0.2265,-0.3337,0.0485,-0.095,0.1232,-0.0199
